Datetime,Close,High,Low,Open,Volume,pivot,pivot_1b,pivot_2b,pivot_type,pivot_type_1b,pivot_type_2b,pivot_kind,pivot_kind_1b,pivot_kind_2b
2015-12-22,7785.1,7859.0,7770.75,7836.0,10088100.0,85.75364904682252,80.8415474277278,102.81052322847816,high,high,high,1.0,1.0,0.0
2015-12-23,7864.0,7879.0,7822.25,7822.25,9921750.0,,,,,,,,,
2015-12-24,7871.75,7887.0,7828.2,7884.9,6118425.0,,,,,,,,,
2015-12-28,7908.55,7921.0,7862.25,7865.15,10140975.0,,,,,,,,,
2015-12-29,7932.05,7939.0,7897.0,7922.0,11147025.0,73.89524355623033,85.75364904682252,80.8415474277278,low,high,high,0.0,1.0,1.0
2015-12-30,7901.9,7941.15,7892.85,7941.15,8872575.0,,,,,,,,,
2015-12-31,7946.35,7948.9,7891.15,7904.5,11457975.0,93.49219829294054,73.89524355623033,85.75364904682252,high,low,high,1.0,0.0,1.0
2016-01-01,7982.0,7994.0,7922.5,7942.0,5857425.0,77.95744841047915,93.49219829294054,73.89524355623033,low,high,low,0.0,1.0,0.0
2016-01-04,7809.8,7947.75,7792.6,7934.9,16308150.0,,,,,,,,,
2016-01-05,7802.75,7839.0,7781.0,7831.0,10596450.0,,,,,,,,,
2016-01-06,7750.05,7824.5,7730.3,7789.0,12153075.0,,,,,,,,,
2016-01-07,7582.05,7687.9,7570.4,7678.0,16652100.0,,,,,,,,,
2016-01-08,7605.2,7644.0,7593.1,7615.0,11050800.0,,,,,,,,,
2016-01-11,7583.75,7619.0,7505.4,7542.7,14846850.0,,,,,,,,,
2016-01-12,7534.05,7600.0,7501.3,7599.9,11632350.0,,,,,,,,,
2016-01-13,7574.55,7603.4,7428.0,7575.0,22369650.0,,,,,,,,,
2016-01-14,7540.55,7617.1,7454.35,7475.0,19102725.0,,,,,,,,,
2016-01-15,7446.25,7560.4,7432.6,7545.5,14368800.0,84.6472250631194,77.95744841047915,93.49219829294054,high,low,high,1.0,0.0,1.0
2016-01-18,7372.25,7468.5,7354.85,7456.25,15230625.0,,,,,,,,,
2016-01-19,7438.1,7474.55,7376.55,7394.7,13631925.0,,,,,,,,,
2016-01-20,7306.95,7360.0,7233.8,7358.0,17077575.0,,,,,,,,,
2016-01-21,7290.85,7401.1,7253.1,7364.1,19015725.0,,,,,,,,,
2016-01-22,7430.7,7438.8,7334.6,7350.0,15568650.0,,,,,,,,,
2016-01-25,7435.45,7484.0,7412.0,7471.1,14427075.0,,,,,,,,,
2016-01-27,7433.4,7473.0,7415.0,7434.0,15695775.0,8.781109598802377,84.6472250631194,77.95744841047915,high,high,low,0.0,1.0,0.0
2016-01-28,7424.65,7465.0,7411.0,7431.0,13540050.0,,,,,,,,,
2016-01-29,7568.05,7580.0,7404.6,7414.45,15507675.0,,,,,,,,,
2016-02-01,7565.35,7606.8,7551.0,7593.5,9359925.0,64.03674530859746,8.781109598802377,84.6472250631194,high,high,high,1.0,0.0,1.0
2016-02-02,7474.95,7594.45,7448.0,7566.2,15222975.0,,,,,,,,,
2016-02-03,7383.5,7433.0,7375.0,7408.0,12098925.0,,,,,,,,,
2016-02-04,7422.65,7478.7,7377.5,7421.1,13016925.0,96.91379209721825,64.03674530859746,8.781109598802377,high,high,high,0.0,1.0,0.0
2016-02-05,7519.2,7529.0,7425.55,7431.25,13202925.0,,,,,,,,,
2016-02-08,7393.45,7534.5,7369.6,7495.0,13986225.0,,,,,,,,,
2016-02-09,7325.05,7353.9,7295.55,7305.0,13944375.0,,,,,,,,,
2016-02-10,7246.55,7293.35,7194.1,7268.0,18178425.0,,,,,,,,,
2016-02-11,6993.45,7214.95,6970.2,7205.0,22233825.0,,,,,,,,,
2016-02-12,6990.0,7043.0,6875.55,7030.0,22645200.0,,,,,,,,,
2016-02-15,7161.45,7194.8,7059.0,7064.75,15371025.0,,,,,,,,,
2016-02-16,7054.1,7208.5,7042.5,7202.25,17069250.0,,,,,,,,,
2016-02-17,7120.9,7134.3,6967.3,7059.75,19330875.0,,,,,,,,,
2016-02-18,7190.85,7225.0,7126.5,7186.1,17249325.0,,,,,,,,,
2016-02-19,7212.45,7236.9,7151.0,7174.5,13038450.0,,,,,,,,,
2016-02-22,7240.7,7257.7,7211.1,7221.0,10586025.0,49.92352109906432,96.91379209721825,64.03674530859746,low,high,high,0.0,0.0,1.0
2016-02-23,7113.1,7237.75,7096.5,7237.75,20317125.0,,,,,,,,,
2016-02-24,7019.05,7135.75,7008.3,7135.75,18741300.0,,,,,,,,,
2016-02-25,6970.6,7030.0,6961.3,7015.0,18344925.0,,,,,,,,,
2016-02-26,7055.15,7087.0,7006.1,7061.15,12809700.0,73.83343740853147,49.92352109906432,96.91379209721825,high,low,high,1.0,0.0,0.0
2016-02-29,7008.95,7127.95,6833.65,7052.55,31017750.0,,,,,,,,,
2016-03-01,7229.05,7240.5,7046.15,7051.25,17759850.0,,,,,,,,,
2016-03-02,7361.55,7370.0,7302.75,7328.0,16714800.0,,,,,,,,,
2016-03-03,7449.55,7461.5,7365.2,7401.1,12831525.0,,,,,,,,,
2016-03-04,7460.35,7480.0,7405.05,7469.9,11810700.0,,,,,,,,,
2016-03-08,7452.65,7498.0,7414.0,7473.2,11360925.0,,,,,,,,,
2016-03-09,7535.05,7540.0,7407.55,7433.25,13324575.0,29.589632951443097,73.83343740853147,49.92352109906432,low,high,low,0.0,1.0,0.0
2016-03-10,7483.7,7583.4,7435.25,7583.4,13688700.0,,,,,,,,,
2016-03-11,7512.2,7544.0,7447.0,7485.1,15471150.0,,,,,,,,,
2016-03-14,7546.85,7594.0,7528.05,7550.0,10802625.0,,,,,,,,,
2016-03-15,7485.4,7555.95,7470.2,7545.0,11360775.0,,,,,,,,,
2016-03-16,7527.0,7536.0,7430.0,7485.2,14207100.0,,,,,,,,,
2016-03-17,7512.75,7601.95,7487.1,7588.0,15077700.0,113.43817969384399,29.589632951443097,73.83343740853147,high,low,high,0.0,0.0,1.0
2016-03-18,7605.3,7615.0,7527.15,7536.0,15895050.0,,,,,,,,,
2016-03-21,7713.35,7723.2,7615.2,7623.5,14799450.0,,,,,,,,,
2016-03-22,7726.25,7737.0,7657.2,7705.25,13659600.0,,,,,,,,,
2016-03-23,7736.3,7746.55,7678.2,7696.65,12288900.0,54.391261500139244,113.43817969384399,29.589632951443097,low,high,low,0.0,0.0,0.0
2016-03-28,7638.6,7730.45,7611.5,7715.25,15136500.0,,,,,,,,,
2016-03-29,7620.05,7674.9,7597.5,7629.0,17362650.0,99.73449482684552,54.391261500139244,113.43817969384399,high,low,high,1.0,0.0,0.0
2016-03-30,7741.0,7749.0,7651.1,7674.45,14385975.0,,,,,,,,,
2016-03-31,7738.4,7778.95,7718.3,7734.95,18968400.0,,,,,,,,,
2016-04-01,7748.75,7772.6,7704.1,7754.85,13695225.0,,,,,,,,,
2016-04-04,7790.75,7809.9,7737.0,7778.0,8339175.0,53.28086613764261,99.73449482684552,54.391261500139244,low,high,low,0.0,1.0,0.0
2016-04-05,7623.5,7759.5,7609.95,7735.0,19685100.0,,,,,,,,,
2016-04-06,7634.7,7653.8,7603.45,7645.2,10226250.0,,,,,,,,,
2016-04-07,7565.05,7634.8,7555.0,7629.0,13869675.0,80.16865932245013,53.28086613764261,99.73449482684552,high,low,high,1.0,0.0,1.0
2016-04-08,7578.1,7595.85,7540.0,7540.0,9017775.0,,,,,,,,,
2016-04-11,7702.1,7712.85,7533.0,7580.25,15689700.0,,,,,,,,,
2016-04-12,7732.8,7738.0,7685.4,7694.0,11439975.0,,,,,,,,,
2016-04-13,7867.85,7893.45,7791.1,7792.5,14597475.0,,,,,,,,,
2016-04-18,7920.3,7927.7,7851.6,7904.5,11719125.0,,,,,,,,,
2016-04-20,7929.85,7959.75,7891.95,7945.1,13574925.0,,,,,,,,,
2016-04-21,7913.35,7984.5,7885.1,7972.2,12228300.0,7.910532094984216,80.16865932245013,53.28086613764261,low,high,low,0.0,1.0,0.0
2016-04-22,7911.15,7941.9,7881.45,7895.0,9797325.0,,,,,,,,,
2016-04-25,7865.0,7908.8,7831.1,7905.0,11187675.0,99.78566289652835,7.910532094984216,80.16865932245013,high,low,high,1.0,0.0,1.0
2016-04-26,7979.15,7992.45,7832.7,7834.5,17689875.0,,,,,,,,,
2016-04-27,7990.35,7997.95,7949.5,7952.3,10119000.0,,,,,,,,,
2016-04-28,7847.25,8000.0,7843.0,7970.5,18173625.0,,,,,,,,,
2016-04-29,7894.8,7950.0,7831.1,7887.0,15608250.0,,,,,,,,,
2016-05-02,7840.1,7874.45,7805.1,7858.2,11138550.0,,,,,,,,,
2016-05-03,7783.8,7949.95,7770.1,7848.75,18409125.0,,,,,,,,,
2016-05-04,7732.75,7789.0,7725.0,7755.0,12242850.0,78.03190585874727,99.78566289652835,7.910532094984216,low,high,low,0.0,1.0,0.0
2016-05-05,7773.1,7817.5,7733.0,7741.0,13965150.0,,,,,,,,,
2016-05-06,7760.25,7770.6,7700.95,7733.7,10939275.0,,,,,,,,,
2016-05-09,7904.3,7912.2,7775.0,7794.9,15184725.0,,,,,,,,,
2016-05-10,7919.75,7933.55,7867.15,7894.0,10748025.0,,,,,,,,,
2016-05-11,7865.85,7909.9,7798.2,7810.35,18360225.0,5.872720992566606,78.03190585874727,99.78566289652835,low,low,high,1.0,0.0,1.0
2016-05-12,7928.2,7939.4,7860.4,7886.0,12939750.0,,,,,,,,,
2016-05-13,7830.55,7891.8,7787.3,7891.2,15889200.0,68.3016113308993,5.872720992566606,78.03190585874727,high,low,low,1.0,1.0,0.0
2016-05-16,7887.2,7898.1,7780.1,7840.0,14011275.0,,,,,,,,,
2016-05-17,7907.6,7957.8,7896.0,7920.0,11509575.0,50.37369211570432,68.3016113308993,5.872720992566606,low,high,low,0.0,1.0,1.0
2016-05-18,7879.3,7927.0,7811.4,7856.75,14711550.0,,,,,,,,,
2016-05-19,7785.1,7872.55,7775.25,7864.95,14506500.0,,,,,,,,,
2016-05-20,7763.35,7828.0,7753.35,7790.3,12173925.0,,,,,,,,,
2016-05-23,7744.85,7816.0,7736.65,7782.55,14444775.0,59.815565993927564,50.37369211570432,68.3016113308993,high,low,high,0.0,0.0,1.0
2016-05-24,7759.3,7769.5,7722.8,7736.0,11329950.0,,,,,,,,,
2016-05-25,7943.0,7949.9,7802.65,7802.65,19064175.0,,,,,,,,,
2016-05-26,8069.65,8074.65,7951.05,7965.25,15623175.0,,,,,,,,,
2016-05-27,8172.45,8181.7,8087.1,8091.1,13686450.0,,,,,,,,,
2016-05-30,8194.3,8222.75,8172.4,8211.5,8638650.0,,,,,,,,,
2016-05-31,8190.9,8229.45,8156.3,8225.0,10812675.0,,,,,,,,,
2016-06-01,8194.55,8224.9,8178.3,8200.0,9410400.0,,,,,,,,,
2016-06-02,8243.25,8254.0,8161.35,8187.75,10412250.0,,,,,,,,,
2016-06-03,8238.9,8276.95,8226.05,8261.1,8391150.0,5.795018682663258,59.815565993927564,50.37369211570432,low,high,low,1.0,0.0,0.0
2016-06-06,8229.8,8256.65,8205.8,8248.0,6554100.0,,,,,,,,,
2016-06-07,8283.15,8318.9,8230.05,8266.0,11458200.0,,,,,,,,,
2016-06-08,8284.2,8299.0,8262.05,8290.05,6440025.0,,,,,,,,,
2016-06-09,8229.35,8291.0,8200.05,8285.1,10466475.0,,,,,,,,,
2016-06-10,8190.4,8299.0,8171.1,8202.2,15514500.0,,,,,,,,,
2016-06-13,8130.65,8147.0,8082.2,8124.0,13015425.0,,,,,,,,,
2016-06-14,8120.55,8138.45,8076.0,8130.55,12027525.0,117.78363875475188,5.795018682663258,59.815565993927564,high,low,high,0.0,1.0,0.0
2016-06-15,8221.35,8232.4,8105.1,8105.1,11627400.0,,,,,,,,,
2016-06-16,8158.75,8194.0,8085.0,8185.35,17713275.0,,,,,,,,,
2016-06-17,8174.4,8221.2,8151.3,8200.0,11415750.0,,,,,,,,,
2016-06-20,8251.9,8262.0,8106.0,8106.0,15056550.0,,,,,,,,,
2016-06-21,8225.1,8253.0,8205.8,8251.15,7624425.0,,,,,,,,,
2016-06-22,8205.05,8253.25,8154.0,8226.85,10554075.0,,,,,,,,,
2016-06-23,8282.25,8307.15,8190.15,8206.1,10833825.0,3.173212102268945,117.78363875475188,5.795018682663258,low,high,low,0.0,0.0,1.0
2016-06-24,8086.9,8125.0,7927.1,8125.0,31883400.0,,,,,,,,,
2016-06-27,8104.6,8130.0,8048.0,8050.1,14869275.0,,,,,,,,,
2016-06-28,8136.05,8158.9,8085.0,8090.0,12463425.0,61.33290179197905,3.173212102268945,117.78363875475188,high,low,high,0.0,0.0,0.0
2016-06-29,8204.5,8214.8,8155.75,8162.5,11647950.0,,,,,,,,,
2016-06-30,8287.75,8310.0,8238.2,8255.0,16672275.0,,,,,,,,,
2016-07-01,8355.15,8378.0,8310.0,8310.0,9195225.0,,,,,,,,,
